areaCode,year,ProcessingValue
BGD,2012,249808.744409
BGD,2018,718222.475005
BGD,2020,854325.083976
IND,2008,762307.51622
IND,2009,860381.413372
IND,2010,1086549.797581
IND,2011,1256547.655818
IND,2012,1346186.591232
IND,2013,1483385.453508
IND,2014,1575417.669065
IND,2015,1862164.657931
IND,2016,2187669.495178
IND,2017,2423921.149324
IND,2018,2650082.203765
IND,2019,2684555.338386
IND,2020,2779622.454678
IND,2021,3370936.657004
LAO,2015,3190534.639209
LAO,2016,3337727.463655
LAO,2017,3499695.007039
MYS,2005,13318.363946
MYS,2006,14047.230239
MYS,2007,15285.060073
MYS,2008,20583.320409
MYS,2009,18675.670173
MYS,2010,21917.680119
MYS,2011,24209.157276
MYS,2012,27801.23543
MYS,2013,28782.128037
MYS,2014,34885.363545
MYS,2015,30884.391349
MYS,2016,32063.41577
MYS,2017,35568.491298
MYS,2018,34965.809629
MYS,2019,35517.917581
MYS,2020,37946.237106
MYS,2021,43614.950394
PAK,2016,735372.084608
PAK,2017,805217.217199
PAK,2018,911422.075217
SGP,2000,1091.093548
SGP,2001,1177.788276
SGP,2002,1136.047551
SGP,2003,1139.352064
SGP,2004,1332.262778
SGP,2005,1322.275152
SGP,2006,1432.916897
SGP,2007,1472.495072
SGP,2008,1766.770835
SGP,2009,2084.453974
SGP,2010,2623.801212
SGP,2011,2998.162741
SGP,2012,3339.571095
SGP,2013,3253.3418
SGP,2014,3845.350169
SGP,2015,4177.23261
SGP,2016,4157.115529
SGP,2017,4439.240621
SGP,2018,4164.04313
SGP,2019,4755.203045
SGP,2020,4231.90406
SGP,2021,5276.284109
LKA,2013,444204.465493
LKA,2014,569142.845475
LKA,2015,429843.439225
LKA,2016,514728.949504
LKA,2017,574218.945771
LKA,2018,718893.264644
LKA,2019,777651.133459
LKA,2020,770635.374566
LKA,2021,956914.19603
THA,2016,756372.443911
THA,2017,821267.52633
THA,2018,858471.778489
BGD,2012,3669.694917
BGD,2018,8075.724265
BGD,2020,9224.303917
IND,2008,16254.46708
IND,2009,17546.91678
IND,2010,19993.61958
IND,2011,22080.272538
IND,2012,22362.532668
IND,2013,23742.672764
IND,2014,24817.967598
IND,2015,29027.407875
IND,2016,33847.001216
IND,2017,36665.838138
IND,2018,38561.245828
IND,2019,39406.351813
IND,2020,40552.650232
IND,2021,45035.001393
LAO,2015,391.57726
LAO,2016,403.878013
LAO,2017,421.765467
MYS,2005,4150.898992
MYS,2006,4281.45854
MYS,2007,4546.634867
MYS,2008,5670.285079
MYS,2009,5219.842709
MYS,2010,6042.074974
MYS,2011,6370.618862
MYS,2012,7227.174886
MYS,2013,7473.774805
MYS,2014,8835.646447
MYS,2015,7907.921974
MYS,2016,8255.100118
MYS,2017,8823.738589
MYS,2018,8756.684833
MYS,2019,8881.507353
MYS,2020,9479.399081
MYS,2021,10383.838331
