areaCode,year,ICTPolicy
BGD,2021,6.79012
BTN,2021,8.17901
BRN,2021,9.5679
KHM,2021,7.25309
IND,2021,19.4444
IDN,2021,10.8025
LAO,2021,8.64198
MYS,2021,16.6667
MMR,2021,4.62963
NPL,2021,3.7037
PAK,2021,17.5926
PHL,2021,14.8148
SGP,2021,18.8272
LKA,2021,12.963
THA,2021,18.8272
VNM,2021,6.17284
BGD,2023,6.79012
BTN,2023,8.95062
BRN,2023,12.6543
KHM,2023,11.1111
IND,2023,19.4444
IDN,2023,13.8889
LAO,2023,8.64198
MYS,2023,19.7531
MMR,2023,9.5679
NPL,2023,3.7037
PAK,2023,16.6667
PHL,2023,18.8272
SGP,2023,21.2963
LKA,2023,12.963
THA,2023,18.8272
VNM,2023,7.09877
