,areaCode,year,ICTPolicy
13,BGD,2021,6.79012
19,BTN,2021,8.17901
24,BRN,2021,9.5679
29,KHM,2021,7.25309
77,IND,2021,19.4444
78,IDN,2021,10.8025
93,LAO,2021,8.64198
104,MYS,2021,16.6667
119,MMR,2021,4.62963
122,NPL,2021,3.7037
131,PAK,2021,17.5926
137,PHL,2021,14.8148
155,SGP,2021,18.8272
163,LKA,2021,12.963
171,THA,2021,18.8272
189,VNM,2021,6.17284
206,BGD,2023,6.79012
212,BTN,2023,8.95062
217,BRN,2023,12.6543
222,KHM,2023,11.1111
270,IND,2023,19.4444
271,IDN,2023,13.8889
286,LAO,2023,8.64198
297,MYS,2023,19.7531
312,MMR,2023,9.5679
315,NPL,2023,3.7037
324,PAK,2023,16.6667
330,PHL,2023,18.8272
348,SGP,2023,21.2963
356,LKA,2023,12.963
364,THA,2023,18.8272
382,VNM,2023,7.09877
